mf_name,curr_price,growth(%),1 year(%),3 year(%),5 year(%),launch_date,exit_load(%),min_investment,Last dividend payout,document_link,link
Axis All Seasons Debt Fund of Funds - Direct Plan - Growth,11.2,0.03,8.21,0.0,0.0,2020-01-10,1.0,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140516920.00206600/axis-seasons-debt-fund-funds-direct-plan
Axis All Seasons Debt Fund of Funds - Direct Plan - IDCW,11.2,0.03,8.22,0.0,0.0,2020-01-10,1.0,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140516920.00206700/axis-seasons-debt-fund-funds-direct-plan
Axis All Seasons Debt Fund of Funds - Direct Plan - IDCW-Annual,11.2,0.03,8.22,0.0,0.0,2020-01-10,1.0,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140516920.00217900/axis-seasons-debt-fund-funds-direct-plan
Axis All Seasons Debt Fund of Funds - Direct Plan - IDCW-Half Yearly,10.04,0.03,0.0,0.0,0.0,2020-01-10,1.0,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140516920.00218000/axis-seasons-debt-fund-funds-direct-plan
Axis All Seasons Debt Fund of Funds - Direct Plan - IDCW-Monthly,11.21,0.03,8.21,0.0,0.0,2020-01-10,1.0,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140516920.00218200/axis-seasons-debt-fund-funds-direct-plan
Axis All Seasons Debt Fund of Funds - Direct Plan - IDCW-Quarterly,11.2,0.03,8.21,0.0,0.0,2020-01-10,1.0,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140516920.00218100/axis-seasons-debt-fund-funds-direct-plan
Axis Global Equity Alpha Fund of Fund - Direct Plan - Growth,12.52,0.57,0.0,0.0,0.0,2020-09-04,1.0,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140517139.00206600/axis-global-equity-alpha-fund-fund-direct-plan
Axis Global Equity Alpha Fund of Fund - Direct Plan - IDCW,12.52,0.57,0.0,0.0,0.0,2020-09-04,1.0,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140517139.00206700/axis-global-equity-alpha-fund-fund-direct-plan
Axis Global Innovation Fund of Fund - Direct Plan - Growth,10.01,0.0,0.0,0.0,0.0,2021-05-10,1.0,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140517335.00206600/axis-global-innovation-fund-fund-direct-plan
Axis Global Innovation Fund of Fund - Direct Plan - IDCW,10.01,0.0,0.0,0.0,0.0,2021-05-10,1.0,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140517335.00206700/axis-global-innovation-fund-fund-direct-plan
Axis Gold Fund - Direct Plan - Growth,16.09,-0.75,3.89,15.76,9.96,2013-01-01,1.0,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/14057659.00206600/axis-gold-fund-direct-plan
Axis Gold Fund - Direct Plan - IDCW,16.11,-0.75,3.89,15.77,9.97,2013-01-01,1.0,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/14057659.00206700/axis-gold-fund-direct-plan
Axis Greater China Equity Fund of Fund - Direct Plan - Growth,9.47,0.42,0.0,0.0,0.0,2021-01-29,1.0,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140517231.00206600/axis-greater-china-equity-fund-fund-direct-plan
Axis Greater China Equity Fund of Fund - Direct Plan - IDCW,9.47,0.42,0.0,0.0,0.0,2021-01-29,1.0,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140517231.00206700/axis-greater-china-equity-fund-fund-direct-plan
Axis Arbitrage Fund - Direct Plan - Growth,15.58,-0.01,3.92,5.76,6.29,2014-07-25,0.25,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140512052.00206600/axis-arbitrage-fund-direct-plan
Axis Arbitrage Fund - Direct Plan - IDCW,11.46,-0.01,2.55,1.54,1.42,2014-07-25,0.25,5000.0,0.50%,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140512052.00206700/axis-arbitrage-fund-direct-plan
Axis Banking & PSU Debt Fund - Direct Plan - Growth,2119.37,0.02,6.65,9.3,8.45,2013-01-01,,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/14057616.00206600/axis-banking-debt-fund-direct-plan
Axis Banking & PSU Debt Fund - Direct Plan - IDCW-Monthly,1033.82,0.02,0.68,0.85,0.55,2013-01-01,,5000.0,0.50%,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/14057616.00218200/axis-banking-debt-fund-direct-plan
Axis Banking & PSU Debt Fund - Direct Plan - IDCW-Weekly,1038.87,0.02,1.21,1.08,0.64,2013-01-01,,5000.0,0.06%,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/14057616.00218300/axis-banking-debt-fund-direct-plan
Axis Bluechip Fund - Direct Plan - Growth,45.63,-0.11,48.63,17.47,17.74,2013-01-01,1.0,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/14057657.00206600/axis-bluechip-fund-direct-plan
Axis Bluechip Fund - Direct Plan - IDCW,21.28,-0.14,41.4,8.44,7.83,2013-01-01,1.0,5000.0,10.00%,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/14057657.00206700/axis-bluechip-fund-direct-plan
Axis Corporate Debt Fund - Direct Plan - Growth,13.75,0.02,9.09,8.93,0.0,2017-06-23,,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140514621.00206600/axis-corporate-debt-fund-direct-plan
Axis Corporate Debt Fund - Direct Plan - IDCW,13.75,0.02,9.09,8.93,0.0,2017-06-23,,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140514621.00206700/axis-corporate-debt-fund-direct-plan
Axis Corporate Debt Fund - Direct Plan - IDCW-Monthly,10.2,0.02,0.4,0.4,0.0,2017-06-23,,5000.0,0.69%,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140514621.00218200/axis-corporate-debt-fund-direct-plan
Axis Corporate Debt Fund - Direct Plan - IDCW-Weekly,10.37,0.02,1.94,1.05,0.0,2017-06-23,,5000.0,0.07%,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140514621.00218300/axis-corporate-debt-fund-direct-plan
Axis Credit Risk Fund - Direct Plan - Growth,17.9,0.03,10.01,7.87,8.06,2014-06-25,1.0,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140511926.00206600/axis-credit-risk-fund-direct-plan
Axis Credit Risk Fund - Direct Plan - IDCW-Monthly,10.2,0.03,1.44,0.52,0.26,2014-07-21,1.0,5000.0,0.62%,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140511926.00218200/axis-credit-risk-fund-direct-plan
Axis Credit Risk Fund - Direct Plan - IDCW-Weekly,10.26,0.03,0.04,0.14,0.19,2014-06-25,1.0,5000.0,0.17%,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140511926.00218300/axis-credit-risk-fund-direct-plan
Axis Dynamic Bond Fund - Direct Plan - Growth,25.28,-0.01,7.56,10.77,9.39,2013-01-01,,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/14057656.00206600/axis-dynamic-bond-fund-direct-plan
Axis Dynamic Bond Fund - Direct Plan - IDCW-Half Yearly,11.97,-0.01,-0.99,2.54,1.32,2013-08-07,,5000.0,5.00%,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/14057656.00218000/axis-dynamic-bond-fund-direct-plan
Axis Dynamic Bond Fund - Direct Plan - IDCW-Quarterly,11.02,-0.01,-1.68,1.04,-0.12,2013-01-01,,5000.0,2.50%,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/14057656.00218100/axis-dynamic-bond-fund-direct-plan
Axis Dynamic Equity Fund - Direct Plan - Growth,13.88,-0.07,24.15,8.99,0.0,2017-07-11,1.0,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140514654.00206600/axis-dynamic-equity-fund-direct-plan
Axis Dynamic Equity Fund - Direct Plan - IDCW,12.18,-0.16,13.41,4.35,0.0,2017-07-11,1.0,5000.0,11.00%,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140514654.00206700/axis-dynamic-equity-fund-direct-plan
Axis Equity Hybrid Fund - Direct Plan - Growth,14.43,0.0,42.17,0.0,0.0,2018-07-20,1.0,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140515633.00206600/axis-equity-hybrid-fund-direct-plan
Axis Equity Hybrid Fund - Direct Plan - IDCW,13.21,0.0,30.02,0.0,0.0,2018-07-20,1.0,5000.0,11.50%,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140515633.00206700/axis-equity-hybrid-fund-direct-plan
Axis Equity Hybrid Fund - Direct Plan - IDCW-Monthly,13.75,0.07,36.14,0.0,0.0,2018-07-20,1.0,5000.0,0.80%,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140515633.00218200/axis-equity-hybrid-fund-direct-plan
Axis Equity Hybrid Fund - Direct Plan - IDCW-Quarterly,14.17,0.0,39.61,0.0,0.0,2018-07-20,1.0,5000.0,2.40%,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140515633.00218100/axis-equity-hybrid-fund-direct-plan
AXIS Equity Saver Fund - Direct Plan - Growth,16.8,-0.06,26.13,10.18,10.32,2015-07-27,1.0,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140513131.00206600/axis-equity-saver-fund-direct-plan
AXIS Equity Saver Fund - Direct Plan - IDCW,13.14,-0.08,16.9,4.06,0.0,2016-09-12,1.0,5000.0,10.00%,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140513131.00206700/axis-equity-saver-fund-direct-plan
AXIS Equity Saver Fund - Direct Plan - IDCW-Monthly,12.89,-0.08,23.0,5.05,4.67,2015-08-20,1.0,5000.0,0.62%,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140513131.00218200/axis-equity-saver-fund-direct-plan
AXIS Equity Saver Fund - Direct Plan - IDCW-Quarterly,13.23,-0.15,24.23,5.43,5.22,2015-08-20,1.0,5000.0,1.88%,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140513131.00218100/axis-equity-saver-fund-direct-plan
Axis ESG Equity Fund - Direct Plan - Growth,14.75,-0.2,48.54,0.0,0.0,2020-01-22,1.0,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140516928.00206600/axis-equity-fund-direct-plan
Axis ESG Equity Fund - Direct Plan - IDCW,14.75,-0.2,48.54,0.0,0.0,2020-01-22,1.0,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140516928.00206700/axis-equity-fund-direct-plan
Axis Special Situations Fund - Direct Plan - Growth,11.16,-0.18,0.0,0.0,0.0,2020-12-04,1.0,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140517205.00206600/axis-special-situations-fund-direct-plan
Axis Special Situations Fund - Direct Plan - IDCW,11.16,-0.18,0.0,0.0,0.0,2020-12-04,1.0,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140517205.00206700/axis-special-situations-fund-direct-plan
Axis Flexi Cap Fund - Direct Plan - Growth,17.55,0.0,50.39,17.68,0.0,2017-10-30,1.0,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140514760.00206600/axis-flexi-fund-direct-plan
Axis Flexi Cap Fund - Direct Plan - IDCW,14.45,-0.07,37.36,10.29,0.0,2017-10-30,1.0,5000.0,10.18%,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140514760.00206700/axis-flexi-fund-direct-plan
Axis Focused 25 Fund - Direct Plan - Growth,45.16,0.09,57.9,15.91,19.16,2013-01-01,1.0,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/14057658.00206600/axis-focused-fund-direct-plan
Axis Focused 25 Fund - Direct Plan - IDCW,36.0,0.08,44.23,7.93,14.13,2013-01-01,1.0,5000.0,31.00%,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/14057658.00206700/axis-focused-fund-direct-plan
Axis Gilt Fund - Direct Plan - Growth,20.88,-0.01,5.51,11.16,8.79,2013-01-01,,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/14057655.00206600/axis-gilt-fund-direct-plan
Axis Gilt Fund - Direct Plan - IDCW,10.06,-0.01,-1.14,0.57,-0.15,2013-01-01 00:00:00,,5000.0,0.37%,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/14057655.00206700/axis-gilt-fund-direct-plan
Axis Gilt Fund - Direct Plan - IDCW-Half Yearly,11.08,-0.01,-3.46,-1.71,-0.56,2013-08-19 00:00:00,,5000.0,5.00%,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/14057655.00218000/axis-gilt-fund-direct-plan
Axis Growth Opportunities Fund - Direct Plan - Growth,18.26,0.05,63.91,0.0,0.0,2018-10-01 00:00:00,1.0,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140515900.00206600/axis-growth-opportunities-fund-direct-plan
Axis Growth Opportunities Fund - Direct Plan - IDCW,16.68,0.0,49.87,0.0,0.0,2018-10-01 00:00:00,1.0,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140515900.00206700/axis-growth-opportunities-fund-direct-plan
Axis Liquid Fund - Direct Plan - Growth,2298.23,0.01,3.32,5.59,6.16,2013-01-01 00:00:00,0.007,500.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/14057593.00206600/axis-liquid-fund-direct-plan
Axis Liquid Fund - Direct Plan - IDCW-Monthly,1001.79,0.01,0.03,-0.03,-0.02,2013-01-01 00:00:00,0.007,5000.0,0.24%,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/14057593.00218200/axis-liquid-fund-direct-plan
Axis Liquid Fund - Direct Plan - IDCW-Weekly,1002.64,0.01,0.02,0.0,0.01,2013-01-01 00:00:00,0.007,5000.0,0.06%,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/14057593.00218300/axis-liquid-fund-direct-plan
Axis Long Term Equity Fund - Direct Plan - Growth,71.58,0.12,54.67,16.06,17.21,2013-01-01 00:00:00,,500.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/14057660.00206600/axis-long-term-equity-fund-direct-plan
Axis Long Term Equity Fund - Direct Plan - IDCW,48.26,0.12,45.03,8.9,11.85,2013-01-01 00:00:00,,500.0,29.50%,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/14057660.00206700/axis-long-term-equity-fund-direct-plan
Axis Midcap Fund - Direct Plan - Growth,65.4,0.09,62.48,21.07,20.7,2013-01-01 00:00:00,1.0,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/14057661.00206600/axis-midcap-fund-direct-plan
Axis Midcap Fund - Direct Plan - IDCW,39.88,0.1,48.09,10.94,10.88,2013-01-01 00:00:00,1.0,5000.0,35.00%,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/14057661.00206700/axis-midcap-fund-direct-plan
Axis Money Market Fund - Direct Plan - Growth,1114.68,0.01,4.57,0.0,0.0,2019-07-26 00:00:00,,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140516792.00206600/axis-money-market-fund-direct-plan
Axis Money Market Fund - Direct Plan - IDCW-Annual,1114.8,0.01,4.56,0.0,0.0,2019-07-26 00:00:00,,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140516792.00217900/axis-money-market-fund-direct-plan
Axis Money Market Fund - Direct Plan - IDCW-Monthly,1008.46,0.01,0.06,0.0,0.0,2019-07-26 00:00:00,,5000.0,0.30%,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140516792.00218200/axis-money-market-fund-direct-plan
Axis Money Market Fund - Direct Plan - IDCW-Quarterly,1045.35,0.01,0.64,0.0,0.0,2019-07-26 00:00:00,,5000.0,1.00%,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140516792.00218100/axis-money-market-fund-direct-plan
Axis Nifty 100 Index Fund - Direct Plan - Growth,13.63,-0.07,56.85,0.0,0.0,2019-09-27 00:00:00,1.0,500.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140516839.00206600/axis-nifty-index-fund-direct-plan
Axis Nifty 100 Index Fund - Direct Plan - IDCW,13.65,-0.07,56.9,0.0,0.0,2019-09-27 00:00:00,1.0,500.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140516839.00206700/axis-nifty-index-fund-direct-plan
Axis Overnight Fund - Direct Plan - Growth,1094.28,0.01,3.1,0.0,0.0,2019-03-07 00:00:00,,500.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140516471.00206600/axis-overnight-fund-direct-plan
Axis Overnight Fund - Direct Plan - IDCW-Monthly,1001.89,0.01,0.01,0.0,0.0,2019-03-07 00:00:00,,5000.0,0.26%,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140516471.00218200/axis-overnight-fund-direct-plan
Axis Overnight Fund - Direct Plan - IDCW-Weekly,1001.22,0.01,0.01,0.0,0.0,2019-03-07 00:00:00,,5000.0,0.06%,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140516471.00218300/axis-overnight-fund-direct-plan
Axis Regular Saver Fund - Direct Plan - Growth,25.54,-0.01,19.01,8.41,8.52,2013-01-01 00:00:00,1.0,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/14057729.00206600/axis-regular-saver-fund-direct-plan
Axis Regular Saver Fund - Direct Plan - IDCW-Annual,13.75,-0.01,18.87,3.87,2.76,2013-01-01 00:00:00,1.0,5000.0,3.60%,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/14057729.00217900/axis-regular-saver-fund-direct-plan
Axis Regular Saver Fund - Direct Plan - IDCW-Half Yearly,12.56,-0.01,13.97,2.19,1.2,2013-07-05 00:00:00,1.0,5000.0,2.50%,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/14057729.00218000/axis-regular-saver-fund-direct-plan
Axis Regular Saver Fund - Direct Plan - IDCW-Quarterly,13.77,-0.01,10.11,0.29,1.06,2013-01-01 00:00:00,1.0,5000.0,2.50%,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/14057729.00218100/axis-regular-saver-fund-direct-plan
Axis Retirement Savings Fund - Aggressive Plan - Direct Plan - Growth,12.77,0.0,38.96,0.0,0.0,2019-11-29 00:00:00,,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140516886.00206600/axis-retirement-savings-fund-aggressive-plan-direct-plan
Axis Retirement Savings Fund - Aggressive Plan - Direct Plan - IDCW,12.74,0.0,38.93,0.0,0.0,2019-11-29 00:00:00,,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140516886.00206700/axis-retirement-savings-fund-aggressive-plan-direct-plan
Axis Retirement Savings Fund - Conservative Plan - Direct Plan - Growth,12.28,0.11,22.1,0.0,0.0,2019-11-29 00:00:00,,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140516888.00206600/axis-retirement-savings-fund-conservative-plan-direct-plan
Axis Retirement Savings Fund - Conservative Plan - Direct Plan - IDCW,12.2,0.11,21.9,0.0,0.0,2019-11-29 00:00:00,,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140516888.00206700/axis-retirement-savings-fund-conservative-plan-direct-plan
Axis Retirement Savings Fund - Dynamic Plan - Direct Plan - Growth,12.95,-0.08,36.46,0.0,0.0,2019-11-29 00:00:00,,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140516890.00206600/axis-retirement-savings-fund-dynamic-plan-direct-plan
Axis Retirement Savings Fund - Dynamic Plan - Direct Plan - IDCW,12.84,-0.16,36.31,0.0,0.0,2019-11-29 00:00:00,,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140516890.00206700/axis-retirement-savings-fund-dynamic-plan-direct-plan
Axis Short Term Fund - Direct Plan - Growth,25.73,0.02,7.52,9.35,8.59,2013-01-01 00:00:00,,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/14057662.00206600/axis-short-term-fund-direct-plan
Axis Short Term Fund - Direct Plan - IDCW,15.74,0.02,7.52,9.51,8.68,2013-01-01 00:00:00,,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/14057662.00206700/axis-short-term-fund-direct-plan
Axis Short Term Fund - Direct Plan - IDCW-Monthly,10.04,0.02,-1.38,0.07,-0.14,2013-01-01 00:00:00,,5000.0,0.57%,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/14057662.00218200/axis-short-term-fund-direct-plan
Axis Short Term Fund - Direct Plan - IDCW-Weekly,10.25,0.02,0.02,0.13,0.0,2015-02-24 00:00:00,,5000.0,0.08%,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/14057662.00218300/axis-short-term-fund-direct-plan
Axis Small Cap Fund - Direct Plan - Growth,54.74,0.42,87.98,24.04,21.47,2013-11-11 00:00:00,1.0,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140510102.00206600/axis-small-fund-direct-plan
Axis Small Cap Fund - Direct Plan - IDCW,34.39,0.41,72.21,13.15,13.03,2013-11-11 00:00:00,1.0,5000.0,27.00%,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140510102.00206700/axis-small-fund-direct-plan
Axis Strategic Bond Fund - Direct Plan - Growth,22.94,0.03,9.59,8.98,9.0,2013-01-01 00:00:00,1.0,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/14057776.00206600/axis-strategic-bond-fund-direct-plan
Axis Strategic Bond Fund - Direct Plan - IDCW-Half Yearly,11.69,0.03,4.05,2.06,1.15,2013-01-01 00:00:00,1.0,5000.0,3.00%,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/14057776.00218000/axis-strategic-bond-fund-direct-plan
Axis Strategic Bond Fund - Direct Plan - IDCW-Quarterly,10.7,0.03,-0.18,-0.72,-0.58,2013-01-01 00:00:00,1.0,5000.0,2.50%,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/14057776.00218100/axis-strategic-bond-fund-direct-plan
Axis Treasury Advantage Fund - Direct Plan - Growth,2504.08,0.02,5.82,7.84,7.67,2013-01-01 00:00:00,,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/14057663.00206600/axis-treasury-advantage-fund-direct-plan
Axis Treasury Advantage Fund - Direct Plan - IDCW-Monthly,1010.47,0.02,0.36,0.09,0.12,2013-01-01 00:00:00,,5000.0,0.40%,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/14057663.00218200/axis-treasury-advantage-fund-direct-plan
Axis Treasury Advantage Fund - Direct Plan - IDCW-Weekly,1012.17,0.02,0.54,0.25,0.15,2013-01-01 00:00:00,,5000.0,0.05%,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/14057663.00218300/axis-treasury-advantage-fund-direct-plan
Axis Triple Advantage Fund - Direct Plan - Growth,30.26,-0.05,43.26,15.58,13.41,2013-01-01 00:00:00,1.0,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/14057664.00206600/axis-triple-advantage-fund-direct-plan
Axis Triple Advantage Fund - Direct Plan - IDCW,23.01,-0.05,33.39,10.89,10.63,2013-01-01 00:00:00,1.0,5000.0,1.20%,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/14057664.00206700/axis-triple-advantage-fund-direct-plan
Axis Ultra Short Term Fund - Direct Plan - Growth,12.06,0.01,5.08,0.0,0.0,2018-08-27 00:00:00,,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140515785.00206600/axis-ultra-short-term-fund-direct-plan
Axis Ultra Short Term Fund - Direct Plan - IDCW,12.06,0.01,5.08,0.0,0.0,2018-08-27 00:00:00,,5000.0,,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140515785.00206700/axis-ultra-short-term-fund-direct-plan
Axis Ultra Short Term Fund - Direct Plan - IDCW-Monthly,10.04,0.01,-0.07,0.0,0.0,2018-08-27 00:00:00,,5000.0,0.35%,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140515785.00218200/axis-ultra-short-term-fund-direct-plan
Axis Ultra Short Term Fund - Direct Plan - IDCW-Weekly,10.06,0.01,0.02,0.0,0.0,2018-08-27 00:00:00,,5000.0,0.08%,https://www.axismf.com/Downloads.aspx?Value=application,https://coin.zerodha.com/funds/140515785.00218300/axis-ultra-short-term-fund-direct-plan
Baroda Banking & PSU Bond Fund - Direct Plan - Growth,10.16,0.02,0.0,0.0,0.0,2020-11-27 00:00:00,,5000.0,,https://www.barodamf.com/Downloads/pages/sid.aspx,https://coin.zerodha.com/funds/140517199.00206600/baroda-banking-bond-fund-direct-plan
Baroda Banking & PSU Bond Fund - Direct Plan - IDCW-Monthly,10.16,0.02,0.0,0.0,0.0,2020-11-27 00:00:00,,5000.0,,https://www.barodamf.com/Downloads/pages/sid.aspx,https://coin.zerodha.com/funds/140517199.00218200/baroda-banking-bond-fund-direct-plan
Baroda Banking & PSU Bond Fund - Direct Plan - IDCW-Quarterly,10.16,0.02,0.0,0.0,0.0,2020-11-27 00:00:00,,5000.0,,https://www.barodamf.com/Downloads/pages/sid.aspx,https://coin.zerodha.com/funds/140517199.00218100/baroda-banking-bond-fund-direct-plan
Baroda Banking and Financial Services Fund - Plan B - Direct Plan - Growth,30.0,-0.5,64.02,10.59,13.6,2013-01-01 00:00:00,1.0,5000.0,,https://www.barodamf.com/Downloads/pages/sid.aspx,https://coin.zerodha.com/funds/14057666.00206600/baroda-banking-financial-services-fund-plan-direct-plan
